[Normal Axes]|en|ru
normal_melee_hand_axe|Hand Axe|Ручной топор
normal_melee_hatchet|Hatchet|Топорик
normal_melee_naga|Naga|Нага
normal_melee_broad_axe|Broad Axe|Широкий топор
normal_melee_war_axe|War Axe|Боевой топор
normal_melee_giant_axe|Giant Axe|Гигантский топор
||
[Normal Maces]||
normal_mace_cudgel|Cudgel|Дубина
normal_mace_mace|Mace|Булава
normal_mace_morning_star|Morning Star|Моргенштерн
normal_mace_spiked_club|Spiked Club|Шипастая дубина
normal_mace_war_hammer|War Hammer|Боевой молот
normal_mace_maul|Maul|Кувалда
normal_mace_ogre_maul|Ogre Maul|Молот огра
normal_mace_martel_de_fer|Martel De Fer|Мартель де фер
normal_mace_flail|Flail|Цеп
normal_mace_devil_star|Devil Star|Дьявольская звезда
||
[Normal Daggers]||
normal_dagger_dagger|Dagger|Кинжал
normal_dagger_dirge|Dirge|Погребальный кинжал
normal_dagger_kris|Kris|Крис
||
[Normal Swords]||
normal_sword_short_sword|Short Sword|Короткий меч
normal_sword_sabre|Sabre|Сабля
normal_sword_claymore|Claymore|Клеймор
normal_sword_broad_sword|Broad Sword|Широкий меч
normal_sword_scimitar|Scimitar|Скимитар
normal_sword_giant_sword|Giant Sword|Гигантский меч
normal_sword_katana|Katana|Катана
normal_sword_war_sword|War Sword|Боевой меч
normal_sword_falchion|Falchion|Фальшион
normal_sword_flamberge|Flamberge|Фламберг
normal_sword_zangetsu|Zangetsu|Дзангецу
||
[weapon_melee_unique]||
w_melee_godfather|Godfather|
w_melee_jade_warriors_gladius|Jade Warrior's Gladius|
w_melee_storm_katana|Storm Katana|
w_melee_molten_sword|Molten Sword|
w_melee_hellslayer|Inferno Slayer|
w_melee_dragon_knights_flail|Dragon Knight's Flail|
w_melee_rift_commanders_axe|Rift Commander's Axe|
w_melee_the_undying|The Undying|
w_melee_shattered_dimensions|Shattered Dimensions|
w_melee_ashbringer|Ashbringer|
w_melee_deaths_mirror|Death's Mirror|
w_melee_odins_battle_axe|Odin's Battle Axe|
